nwater	natoms	profile	samples	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_gpu_delta_mib	peak_host_rss_kib
1	3	cpu	3	3.371615038951859	2.243	1.886	1	-17.042112623828245		2034464.0
1	3	gpu1	3	3.719065275043249	2.463	1.993	1	-17.042112611455902		2980008.0
2	6	cpu	3	5.541567831998691	4.437	3.949	1	-34.08251019375822		3506788.0
2	6	gpu1	3	4.709977472084574	3.324	2.716	1	-34.08251016433651		3101956.0
4	12	cpu	3	13.41742847894784	12.221	11.616	1	-68.22925255370919		6047784.0
4	12	gpu1	3	5.729268605005927	4.335	3.58	1	-68.22925247820189		3203588.0
8	24	cpu	3	41.536112271016464	40.338	39.692	1	-136.42284479142913		10435748.0
8	24	gpu1	3	12.65846117399633	11.158	10.372	1	-136.42284464307158		3237700.0
