nwater	natoms	profile	samples	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_gpu_delta_mib	peak_host_rss_kib
1	3	cpu	3	3.6457542380085215	2.534	2.169	1	-17.04211262376447		2132116.0
1	3	gpu1	3	3.8757510390132666	2.66	2.162	1	-17.042112614262575		2992896.0
2	6	cpu	3	5.815587303019129	4.716	4.263	1	-34.08251019419882		3555828.0
2	6	gpu1	3	4.692118735983968	3.445	2.827	1	-34.082510164071564		3124096.0
4	12	cpu	3	13.48199434694834	12.257	11.616	1	-68.22925255384892		6000408.0
4	12	gpu1	3	5.817300767987035	4.498	3.785	1	-68.2292524813138		3117136.0
8	24	cpu	3	41.11959122994449	39.97	39.282	1	-136.42284479181677		10625160.0
8	24	gpu1	3	12.849349507014267	11.444	10.68	1	-136.42284463748592		3133196.0
