nwater	natoms	profile	samples	wall_s	cp2k_total_s	ks_matrix_total_s	ks_matrix_calls	energy_ha	peak_gpu_delta_mib	peak_host_rss_kib
1	3	cpu	3	3.3988052470376715	2.288	1.95	1	-17.042112623828245		2033480.0
1	3	gpu1	3	3.7297998750582337	2.455	1.933	1	-17.042112611455902		2984188.0
2	6	cpu	3	5.534068409935571	4.417	3.927	1	-34.08251019375822		3508100.0
2	6	gpu1	3	4.550316311069764	3.241	2.615	1	-34.08251016433651		3079620.0
4	12	cpu	3	12.992243097978644	11.807	11.224	1	-68.22925255370919		5898272.0
4	12	gpu1	3	5.627749053994194	4.295	3.533	1	-68.22925247820189		3194676.0
8	24	cpu	3	41.62065364501905	40.505	39.836	1	-136.42284479142913		10479740.0
8	24	gpu1	3	12.484704043949023	11.114	10.334	1	-136.42284464307158		3239660.0
