system	method	path	returncode	energy_ha	force_fd_diff_ha_bohr	virial_fd_diff_ha	gauxc_xc_virial_diff_ha
H2_GTH	GPWTYPE	gauxc_pbe	0	-1.165609843077746	-7.597545842391931e-07	3.411105670061282e-09	
H2_GTH	GPWTYPE	native_pbe	0	-1.165610017177661	-7.614211832594406e-07	2.02151896394262e-09	
H2_GTH	GPWTYPE	skala	0	-1.173260784566943	-3.481268497959166e-07	3.3312031208650433e-06	
H2_GTH	PAW	skala	0	-1.173265151689595	-1.2698023099237156e-06	8.389163527671795e-07	
HCl_ECP	GPWTYPE	gauxc_pbe	0	-15.532317130970958	-5.856050018485277e-07	8.31780368019952e-09	
HCl_ECP	GPWTYPE	native_pbe	0	-15.5323389472189	-5.970981808265004e-07	8.365499459817016e-09	
HCl_ECP	GPWTYPE	skala	0	-15.546708806650658	9.962724642723075e-06	-2.9968148491030244e-06	
HCl_ECP	PAW	skala	0	-15.546708806650658	9.962724642723075e-06	-2.9968148491030244e-06	
