path	project	force_eval_energy_ha	gauxc_molecular_virial_fd	debug_sum_of_differences	program_ended
raw/spark/skala-molopt-bench/runs/H2O_GPW_native_pbe_virial_minus/cp2k.out	H2O_GPW_native_pbe	-17.220036951598143			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_native_pbe_virial_plus/cp2k.out	H2O_GPW_native_pbe	-17.220046867745129			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_skala_base/cp2k.out	H2O_GPW_skala	-17.232086949102687	3.94703865804E-01 3.94696113283E-01 7.75252131074E-06		yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_skala_force_minus/cp2k.out	H2O_GPW_skala	-17.232078855733299			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_skala_force_plus/cp2k.out	H2O_GPW_skala	-17.232093649561566			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_skala_virial_minus/cp2k.out	H2O_GPW_skala	-17.232084419056893			yes
raw/spark/skala-molopt-bench/runs/H2O_GPW_skala_virial_plus/cp2k.out	H2O_GPW_skala	-17.232089449526242			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_gauxc_pbe_base/cp2k.out	H2_GAPW_AE_gauxc_pbe	-1.166147111897214	1.17197154092E-01 1.17197152442E-01 1.65060207169E-09		yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_gauxc_pbe_force_minus/cp2k.out	H2_GAPW_AE_gauxc_pbe	-1.166136270446754			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_gauxc_pbe_force_plus/cp2k.out	H2_GAPW_AE_gauxc_pbe	-1.166156588970259			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_gauxc_pbe_virial_minus/cp2k.out	H2_GAPW_AE_gauxc_pbe	-1.166146356481936			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_gauxc_pbe_virial_plus/cp2k.out	H2_GAPW_AE_gauxc_pbe	-1.166147859840922			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_native_pbe_base/cp2k.out	H2_GAPW_AE_native_pbe	-1.166148218325616			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_native_pbe_force_minus/cp2k.out	H2_GAPW_AE_native_pbe	-1.166137389457431			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_native_pbe_force_plus/cp2k.out	H2_GAPW_AE_native_pbe	-1.166157683483109			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_native_pbe_virial_minus/cp2k.out	H2_GAPW_AE_native_pbe	-1.166147463818180			yes
raw/spark/skala-molopt-bench/runs/H2_GAPW_AE_native_pbe_virial_plus/cp2k.out	H2_GAPW_AE_native_pbe	-1.166148965364552			yes
