dx_angstrom	analytic_h_z_ha_per_bohr	restart_fd_h_z_ha_per_bohr	diff_ha_per_bohr	plus_energy_ha	minus_energy_ha
1.0000000000000000e-03	2.8220410600000002e-03	2.8667369391163632e-03	-4.4695879116363017e-05	-1.6547004804794351e+01	-1.6546993970098974e+01
5.0000000000000001e-04	2.8220410600000002e-03	2.8426967863394775e-03	-2.0655726339477345e-05	-1.6547002699611784e+01	-1.6546997327693401e+01
1.0000000000000000e-04	2.8220410600000002e-03	2.8210353330267472e-03	1.0057269732529663e-06	-1.6547000750069092e+01	-1.6546999683872258e+01
