system	method	xc_path	source	grid	pruning	energy_ha	base_returncode	force_atom	force_axis	fd_dx_angstrom	force_analytic_ha_per_bohr	force_fd_ha_per_bohr	force_diff_ha_per_bohr	virial_dx	virial_analytic_ha	virial_fd_ha	virial_diff_ha
OH	GPW	native_pbe	results_dx1e3.json	FINE	ROBUST	-1.6529231713767253e+01	0	2	z	1.0000000000000000e-03	1.4981075900000000e-02	1.4982173857814380e-02	-1.0979578143801433e-06	1.0000000000000000e-04	-9.1684069529824087e-03	-9.1684095515631725e-03	2.5985807637629588e-09
OH	GPW	gauxc_pbe	results_dx1e3.json	FINE	ROBUST	-1.6529146259459768e+01	0	2	z	1.0000000000000000e-03	1.5010251699999999e-02	1.5011331304573045e-02	-1.0796045730454562e-06	1.0000000000000000e-04	-9.1714351868160317e-03	-9.1714365879624893e-03	1.4011464575386379e-09
OH	GPW	skala	results_skala_dx1e4.json	FINE	ROBUST	-1.6547000229713134e+01	0	2	z	1.0000000000000000e-04	2.8220410600000002e-03	2.8210353330267472e-03	1.0057269732529663e-06	1.0000000000000000e-04	-1.7242989920044354e-03	-1.7181443290326115e-03	-6.1546629718238922e-06
OH	GAPW_AE	native_pbe	results_dx1e3.json	FINE	ROBUST	-7.5686283170642895e+01	0	2	z	1.0000000000000000e-03	1.2291764300000001e-02	1.2292871556128642e-02	-1.1072561286410570e-06	1.0000000000000000e-04	-7.5102420711481571e-03	-7.5102558128037344e-03	1.3741655577326206e-08
OH	GAPW_AE	gauxc_pbe	results_dx1e3.json	FINE	ROBUST	-7.5686292448590194e+01	0	2	z	1.0000000000000000e-03	1.2247456300000001e-02	1.2248532001249582e-02	-1.0757012495806600e-06	1.0000000000000000e-04	-7.4833355099567329e-03	-7.4833506384190214e-03	1.5128462288460653e-08
OH	GAPW_AE	skala	results_ae_skala_superfine_dx1e4.json	SUPERFINE	UNPRUNED	-7.5734215787303057e+01	0	2	z	1.0000000000000000e-04	-3.1228640199999999e-03	-3.1396590068823245e-03	1.6794986882324656e-05	1.0000000000000000e-04	1.9081062020570297e-03	1.9160989713403371e-03	-7.9927692833074802e-06
