nwater	natoms	cpu_wall_s	gpu_wall_s	wall_speedup	cpu_cp2k_total_s	gpu_cp2k_total_s	cp2k_total_speedup	cpu_ks_matrix_s	gpu_ks_matrix_s	ks_matrix_speedup	cpu_energy_ha	gpu_energy_ha	delta_energy_ha	cpu_source	gpu_source
1	3	4.37	7.74	0.5645994832041343	3.623	1.883	1.9240573552841211	3.47	1.768	1.9626696832579187	-17.042112624941	-17.042112614262567	1.0678434136934811e-08	skala-gauxc-cpu-smoke-old	skala-gauxc-gpu-smoke-fine2
2	6	8.07	8.05	1.0024844720496895	7.389	2.206	3.3495013599274706	7.146	1.962	3.6422018348623855	-34.08251019875909	-34.08251016407155	3.46875381751488e-08	skala-gauxc-cpu-size-test	skala-gauxc-gpu-size-test
4	12	19.77	9.72	2.0339506172839505	19.108	3.859	4.951541850220265	18.76	3.505	5.352353780313838	-68.22925256268124	-68.2292524813138	8.136744611419999e-08	skala-gauxc-cpu-size-test	skala-gauxc-gpu-size-test
8	24	75.64	25.62	2.952380952380952	71.713	13.354	5.370151265538415	70.855	12.448	5.692079048843188	-136.4228447923257	-136.42284463748592	1.548397676742752e-07	skala-gauxc-cpu-size-test-8	skala-gauxc-gpu-size-test-8
